time,ax,ay,az,atotal
5.411,6.39,-2.80,0.92,7.04
5.421,1.53,-2.49,-4.71,5.54
5.431,-2.74,-1.05,-6.88,7.48
5.441,-1.29,-0.81,-3.04,3.40
5.451,0.54,-1.40,-1.36,2.02
5.461,0.72,-0.99,-1.75,2.14
5.471,1.45,-1.35,-2.66,3.31
5.481,2.44,-2.25,-1.18,3.53
5.491,1.74,-2.49,-0.98,3.20
5.501,0.10,-1.66,-1.71,2.39
5.511,-0.99,-0.48,-1.33,1.73
5.521,-1.50,0.47,-0.37,1.61
5.531,-1.58,0.51,-0.26,1.68
5.541,-1.44,0.23,-0.78,1.65
5.551,-0.69,-0.23,-0.43,0.84
5.561,0.24,-0.57,-0.26,0.67
5.571,0.72,-0.25,-0.33,0.83
5.581,0.70,0.08,-0.39,0.81
5.591,0.65,0.06,-0.09,0.66
5.601,0.70,-0.15,0.36,0.81
5.611,0.51,-0.45,0.48,0.83
5.621,0.20,-0.48,0.54,0.75
5.631,-0.20,-0.24,0.75,0.81
5.641,-0.35,0.00,0.90,0.96
5.651,-0.17,0.14,0.81,0.84
5.661,-0.03,0.34,0.60,0.69
5.671,0.06,0.52,0.51,0.73
5.681,-0.12,0.49,0.59,0.77
5.691,-0.38,0.39,0.65,0.85
5.701,-0.39,0.32,0.64,0.82
5.711,-0.15,0.32,0.56,0.66
5.722,-0.09,0.26,0.52,0.59
5.731,-0.02,-0.08,0.46,0.47
5.742,0.13,-0.50,0.12,0.53
5.751,0.25,-0.89,0.04,0.92
5.762,0.51,-1.15,0.12,1.26
5.771,0.73,-1.28,0.03,1.47
5.782,0.87,-1.24,0.09,1.52
5.792,0.85,-1.03,0.35,1.38
5.802,0.64,-0.83,0.57,1.19
5.812,0.58,-0.65,0.70,1.13
5.822,0.58,-0.67,0.78,1.18
5.832,0.64,-0.85,0.93,1.42
5.842,0.46,-1.20,1.23,1.78
5.852,0.06,-1.53,1.62,2.23
5.862,-0.22,-1.62,1.87,2.49
5.872,-0.21,-1.52,1.63,2.24
5.882,-0.11,-1.54,1.18,1.95
5.892,-0.42,-1.89,1.33,2.35
5.902,-1.36,-2.58,2.41,3.78
5.912,-2.00,-3.51,3.54,5.37
5.922,-1.33,-4.58,3.99,6.22
5.932,-0.18,-6.06,3.69,7.10
5.942,-0.24,-8.64,4.84,9.91
5.952,-0.86,-11.63,8.31,14.32
5.962,-0.54,-12.94,9.15,15.86
5.972,0.58,-12.09,10.85,16.25
5.982,1.16,-11.39,13.27,17.53
5.992,0.90,-11.19,11.69,16.21
6.002,1.90,-8.26,1.29,8.58
6.012,-2.45,-6.02,1.66,6.71
6.022,-6.37,-6.60,4.23,10.10
6.032,-9.66,-8.30,10.22,16.33
6.042,-14.67,-11.02,20.84,27.77
6.052,-14.95,-9.95,12.97,22.16
6.062,-13.03,-5.29,13.76,19.68
6.072,-7.72,-2.97,16.41,18.37
6.082,-3.69,-2.23,16.01,16.58
6.092,-2.53,-0.80,14.92,15.16
6.102,-2.33,0.57,13.61,13.82
6.112,-2.51,1.03,13.46,13.73
6.122,-2.22,1.46,12.29,12.57
6.132,-1.94,1.99,10.71,11.07
6.142,-2.02,2.30,8.63,9.15
6.152,-2.38,2.11,7.72,8.35
6.162,-2.61,1.65,8.24,8.80
6.172,-2.64,1.12,7.98,8.48
6.182,-2.19,0.51,7.34,7.68
6.192,-1.86,0.14,5.99,6.27
6.202,-1.74,-0.25,4.62,4.94
6.212,-1.55,-1.15,4.07,4.50
6.222,-1.30,-2.18,4.02,4.75
6.232,-0.67,-2.86,3.08,4.25
6.242,0.13,-3.42,1.70,3.82
6.252,1.02,-4.11,1.00,4.35
6.262,1.91,-5.06,0.49,5.43
6.272,2.43,-6.38,-0.35,6.84
6.283,2.01,-8.17,-1.27,8.51
6.292,2.40,-10.02,-2.03,10.51
6.303,3.78,-10.99,-3.51,12.14
6.313,3.24,-10.86,-6.84,13.24
